Variables,Descripción,Modelo en el Pasado,Modelo Comportamiento,Modelo Nuevos Clientes
ratio_mean_VAR2_sum_groupby_tipo_ban_tipo_cli_and_mes,Ratio entre mean_VAR2 y el valor medio de dicha variable agrupada por tipo_ban_tipo_cli y mes ,✓, ,✓
ratio_max_VAR25_trx_groupby_tipo_ban_tipo_seg_and_mes,Ratio entre max_VAR25 y el valor máximo de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
diff_mean_VAR25_prom_groupby_tipo_ban_and_mes,Diferencia entre mean_VAR25 y el valor medio de dicha variable agrupada por tipo_ban y mes ,✓, ,✓
ratio_std_VAR23_sum_groupby_tipo_ban_and_mes,Ratio entre std_VAR23 y el valor de la desviacion de dicha variable agrupada por tipo_ban y mes ,✓, ,✓
mean_VAR24_trx_groupby_tipo_ban_tipo_cli_and_mes,Media de VAR24_trx agrupada por tipo_ban_tipo_cli y mes,✓, ,✓
diff_mean_VAR24_sum_groupby_tipo_cat_and_mes,Diferencia entre mean_VAR24 y el valor medio de dicha variable agrupada por tipo_cat y mes ,✓, ,✓
diff_mean_VAR4_sum_groupby_tipo_seg_tipo_cli_and_mes,Diferencia entre mean_VAR4 y el valor medio de dicha variable agrupada por tipo_seg_tipo_cli y mes ,✓, ,✓
ratio_mean_VAR16_sum_groupby_tipo_ban_and_mes,Ratio entre mean_VAR16 y el valor medio de dicha variable agrupada por tipo_ban y mes ,✓, ,✓
std_VAR24_trx_groupby_tipo_ban_tipo_cli_and_mes,Desviacion Estandar de VAR24_trx agrupada por tipo_ban_tipo_cli y mes,✓, ,✓
ratio_mean_VAR24_sum_groupby_categoria_and_mes,Ratio entre mean_VAR24 y el valor medio de dicha variable agrupada por categoria y mes ,✓, ,✓
diff_mean_VAR23_sum_groupby_tipo_com_and_mes,Diferencia entre mean_VAR23 y el valor medio de dicha variable agrupada por tipo_com y mes ,✓, ,✓
mean_VAR1_sum_groupby_tipo_ban_tipo_seg_and_mes,Media de VAR1_sum agrupada por tipo_ban_tipo_seg y mes,✓, ,✓
diff_mean_VAR23_sum_groupby_categoria_and_mes,Diferencia entre mean_VAR23 y el valor medio de dicha variable agrupada por categoria y mes ,✓, ,✓
std_VAR25_trx_groupby_tipo_cli_and_mes,Desviacion Estandar de VAR25_trx agrupada por tipo_cli y mes,✓, ,✓
diff_mean_VAR3_trx_groupby_tipo_cat_and_mes,Diferencia entre mean_VAR3 y el valor medio de dicha variable agrupada por tipo_cat y mes ,✓, ,✓
ratio_mean_VAR3_sum_groupby_tipo_com_and_mes,Ratio entre mean_VAR3 y el valor medio de dicha variable agrupada por tipo_com y mes ,✓, ,✓
ratio_mean_VAR5_trx_groupby_categoria_and_mes,Ratio entre mean_VAR5 y el valor medio de dicha variable agrupada por categoria y mes ,✓, ,✓
ratio_mean_VAR4_sum_groupby_tipo_ban_and_mes,Ratio entre mean_VAR4 y el valor medio de dicha variable agrupada por tipo_ban y mes ,✓, ,✓
ratio_std_VAR16_sum_groupby_tipo_cli_and_mes,Ratio entre std_VAR16 y el valor de la desviacion de dicha variable agrupada por tipo_cli y mes ,✓, ,✓
diff_mean_VAR17_sum_groupby_tipo_cli_and_mes,Diferencia entre mean_VAR17 y el valor medio de dicha variable agrupada por tipo_cli y mes ,✓, ,✓
ratio_mean_VAR11_sum_groupby_tipo_ban_tipo_seg_and_mes,Ratio entre mean_VAR11 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
ratio_std_VAR24_trx_groupby_tipo_cat_and_mes,Ratio entre std_VAR24 y el valor de la desviacion de dicha variable agrupada por tipo_cat y mes ,✓, ,✓
mean_VAR1_trx_groupby_tipo_com_and_mes,Media de VAR1_trx agrupada por tipo_com y mes,✓, ,✓
ratio_std_VAR24_sum_groupby_categoria_and_mes,Ratio entre std_VAR24 y el valor de la desviacion de dicha variable agrupada por categoria y mes ,✓, ,✓
diff_mean_VAR3_sum_groupby_tipo_cli_and_mes,Diferencia entre mean_VAR3 y el valor medio de dicha variable agrupada por tipo_cli y mes ,✓, ,✓
diff_mean_VAR3_sum_groupby_tipo_com_and_mes,Diferencia entre mean_VAR3 y el valor medio de dicha variable agrupada por tipo_com y mes ,✓, ,✓
ratio_mean_VAR24_trx_groupby_categoria_and_mes,Ratio entre mean_VAR24 y el valor medio de dicha variable agrupada por categoria y mes ,✓, ,✓
diff_mean_VAR4_sum_groupby_categoria_and_mes,Diferencia entre mean_VAR4 y el valor medio de dicha variable agrupada por categoria y mes ,✓, ,✓
mean_VAR2_sum_groupby_tipo_ban_and_mes,Media de VAR2_sum agrupada por tipo_ban y mes,✓, ,✓
diff_mean_VAR5_sum_groupby_tipo_cli_and_mes,Diferencia entre mean_VAR5 y el valor medio de dicha variable agrupada por tipo_cli y mes ,✓, ,✓
diff_mean_VAR23_trx_groupby_tipo_cli_and_mes,Diferencia entre mean_VAR23 y el valor medio de dicha variable agrupada por tipo_cli y mes ,✓, ,✓
ratio_max_VAR23_trx_groupby_tipo_ban_and_mes,Ratio entre max_VAR23 y el valor máximo de dicha variable agrupada por tipo_ban y mes ,✓, ,✓
mean_VAR2_trx_groupby_tipo_cli_and_mes,Media de VAR2_trx agrupada por tipo_cli y mes,✓, ,✓
mean_VAR3_sum_groupby_tipo_ban_tipo_seg_and_mes,Media de VAR3_sum agrupada por tipo_ban_tipo_seg y mes,✓, ,✓
ratio_max_VAR24_trx_groupby_tipo_cat_and_mes,Ratio entre max_VAR24 y el valor máximo de dicha variable agrupada por tipo_cat y mes ,✓, ,✓
ratio_std_VAR4_sum_groupby_tipo_ban_tipo_seg_and_mes,Ratio entre std_VAR4 y el valor de la desviacion de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
ratio_std_VAR3_trx_groupby_tipo_com_and_mes,Ratio entre std_VAR3 y el valor de la desviacion de dicha variable agrupada por tipo_com y mes ,✓, ,✓
ratio_mean_VAR11_sum_groupby_tipo_com_and_mes,Ratio entre mean_VAR11 y el valor medio de dicha variable agrupada por tipo_com y mes ,✓, ,✓
diff_mean_VAR24_sum_groupby_categoria_and_mes,Diferencia entre mean_VAR24 y el valor medio de dicha variable agrupada por categoria y mes ,✓, ,✓
diff_mean_VAR12_sum_groupby_categoria_and_mes,Diferencia entre mean_VAR12 y el valor medio de dicha variable agrupada por categoria y mes ,✓, ,✓
ratio_std_VAR1_sum_groupby_tipo_ban_tipo_seg_and_mes,Ratio entre std_VAR1 y el valor de la desviacion de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
diff_mean_VAR2_sum_groupby_tipo_com_and_mes,Diferencia entre mean_VAR2 y el valor medio de dicha variable agrupada por tipo_com y mes ,✓, ,✓
ratio_max_VAR23_sum_groupby_tipo_ban_and_mes,Ratio entre max_VAR23 y el valor máximo de dicha variable agrupada por tipo_ban y mes ,✓, ,✓
ratio_std_VAR16_sum_groupby_categoria_and_mes,Ratio entre std_VAR16 y el valor de la desviacion de dicha variable agrupada por categoria y mes ,✓, ,✓
ratio_mean_VAR1_sum_groupby_tipo_ban_tipo_cli_and_mes,Ratio entre mean_VAR1 y el valor medio de dicha variable agrupada por tipo_ban_tipo_cli y mes ,✓, ,✓
diff_mean_VAR16_sum_groupby_tipo_seg_tipo_cli_and_mes,Diferencia entre mean_VAR16 y el valor medio de dicha variable agrupada por tipo_seg_tipo_cli y mes ,✓, ,✓
ratio_mean_VAR24_sum_groupby_tipo_seg_and_mes,Ratio entre mean_VAR24 y el valor medio de dicha variable agrupada por tipo_seg y mes ,✓, ,✓
ratio_std_VAR3_sum_groupby_tipo_ban_tipo_seg_and_mes,Ratio entre std_VAR3 y el valor de la desviacion de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
ratio_mean_VAR4_sum_groupby_tipo_seg_tipo_cli_and_mes,Ratio entre mean_VAR4 y el valor medio de dicha variable agrupada por tipo_seg_tipo_cli y mes ,✓, ,✓
mean_VAR24_trx_groupby_tipo_ban_and_mes,Media de VAR24_trx agrupada por tipo_ban y mes,✓, ,✓
diff_mean_VAR1_sum_groupby_categoria_and_mes,Diferencia entre mean_VAR1 y el valor medio de dicha variable agrupada por categoria y mes ,✓, ,✓
diff_mean_VAR5_sum_groupby_tipo_seg_tipo_cli_and_mes,Diferencia entre mean_VAR5 y el valor medio de dicha variable agrupada por tipo_seg_tipo_cli y mes ,✓, ,✓
ratio_mean_VAR23_sum_groupby_tipo_ban_tipo_cli_and_mes,Ratio entre mean_VAR23 y el valor medio de dicha variable agrupada por tipo_ban_tipo_cli y mes ,✓, ,✓
mean_VAR24_trx_groupby_tipo_cli_and_mes,Media de VAR24_trx agrupada por tipo_cli y mes,✓, ,✓
ratio_mean_VAR24_sum_groupby_tipo_cat_and_mes,Ratio entre mean_VAR24 y el valor medio de dicha variable agrupada por tipo_cat y mes ,✓, ,✓
diff_mean_VAR12_sum_groupby_tipo_ban_tipo_seg_and_mes,Diferencia entre mean_VAR12 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
ratio_mean_VAR3_trx_groupby_tipo_com_and_mes,Ratio entre mean_VAR3 y el valor medio de dicha variable agrupada por tipo_com y mes ,✓, ,✓
ratio_mean_VAR16_sum_groupby_tipo_seg_tipo_cli_and_mes,Ratio entre mean_VAR16 y el valor medio de dicha variable agrupada por tipo_seg_tipo_cli y mes ,✓, ,✓
ratio_std_VAR5_sum_groupby_tipo_ban_tipo_seg_and_mes,Ratio entre std_VAR5 y el valor de la desviacion de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
diff_mean_VAR3_trx_groupby_tipo_ban_tipo_seg_and_mes,Diferencia entre mean_VAR3 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
mean_VAR3_trx_groupby_tipo_ban_tipo_seg_and_mes,Media de VAR3_trx agrupada por tipo_ban_tipo_seg y mes,✓, ,✓
diff_mean_VAR5_sum_groupby_tipo_ban_tipo_cli_and_mes,Diferencia entre mean_VAR5 y el valor medio de dicha variable agrupada por tipo_ban_tipo_cli y mes ,✓, ,✓
ratio_mean_VAR16_sum_groupby_tipo_seg_and_mes,Ratio entre mean_VAR16 y el valor medio de dicha variable agrupada por tipo_seg y mes ,✓, ,✓
ratio_std_VAR4_trx_groupby_categoria_and_mes,Ratio entre std_VAR4 y el valor de la desviacion de dicha variable agrupada por categoria y mes ,✓, ,✓
mean_VAR25_prom_groupby_tipo_cat_and_mes,Media de VAR25_prom agrupada por tipo_cat y mes,✓, ,✓
ratio_max_VAR2_trx_groupby_tipo_ban_and_mes,Ratio entre max_VAR2 y el valor máximo de dicha variable agrupada por tipo_ban y mes ,✓, ,✓
diff_mean_VAR13_sum_groupby_tipo_ban_and_mes,Diferencia entre mean_VAR13 y el valor medio de dicha variable agrupada por tipo_ban y mes ,✓, ,✓
diff_mean_VAR25_sum_groupby_tipo_seg_tipo_cli_and_mes,Diferencia entre mean_VAR25 y el valor medio de dicha variable agrupada por tipo_seg_tipo_cli y mes ,✓, ,✓
diff_mean_VAR12_sum_groupby_tipo_cli_and_mes,Diferencia entre mean_VAR12 y el valor medio de dicha variable agrupada por tipo_cli y mes ,✓, ,✓
ratio_mean_VAR23_prom_groupby_tipo_ban_and_mes,Ratio entre mean_VAR23 y el valor medio de dicha variable agrupada por tipo_ban y mes ,✓, ,✓
ratio_mean_VAR23_sum_groupby_tipo_seg_tipo_cli_and_mes,Ratio entre mean_VAR23 y el valor medio de dicha variable agrupada por tipo_seg_tipo_cli y mes ,✓, ,✓
max_VAR25_sum_groupby_tipo_cli_and_mes,Maximo valor de VAR25_sum agrupada por tipo_cli y mes,✓, ,✓
ratio_std_VAR1_trx_groupby_tipo_cat_and_mes,Ratio entre std_VAR1 y el valor de la desviacion de dicha variable agrupada por tipo_cat y mes ,✓, ,✓
diff_mean_VAR23_sum_groupby_tipo_seg_and_mes,Diferencia entre mean_VAR23 y el valor medio de dicha variable agrupada por tipo_seg y mes ,✓, ,✓
max_VAR11_sum_groupby_tipo_cat_and_mes,Maximo valor de VAR11_sum agrupada por tipo_cat y mes,✓, ,✓
diff_mean_VAR12_sum_groupby_tipo_com_and_mes,Diferencia entre mean_VAR12 y el valor medio de dicha variable agrupada por tipo_com y mes ,✓, ,✓
ratio_mean_VAR11_sum_groupby_categoria_and_mes,Ratio entre mean_VAR11 y el valor medio de dicha variable agrupada por categoria y mes ,✓, ,✓
ratio_mean_VAR1_trx_groupby_tipo_ban_tipo_seg_and_mes,Ratio entre mean_VAR1 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
diff_mean_VAR4_sum_groupby_tipo_ban_tipo_seg_and_mes,Diferencia entre mean_VAR4 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
diff_mean_VAR11_sum_groupby_tipo_ban_tipo_seg_and_mes,Diferencia entre mean_VAR11 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
ratio_mean_VAR23_sum_groupby_tipo_com_and_mes,Ratio entre mean_VAR23 y el valor medio de dicha variable agrupada por tipo_com y mes ,✓, ,✓
diff_mean_VAR17_sum_groupby_tipo_ban_tipo_seg_and_mes,Diferencia entre mean_VAR17 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
ratio_max_VAR1_trx_groupby_tipo_cat_and_mes,Ratio entre max_VAR1 y el valor máximo de dicha variable agrupada por tipo_cat y mes ,✓, ,✓
mean_VAR14_sum_groupby_tipo_ban_tipo_seg_and_mes,Media de VAR14_sum agrupada por tipo_ban_tipo_seg y mes,✓, ,✓
diff_mean_VAR5_sum_groupby_tipo_ban_tipo_seg_and_mes,Diferencia entre mean_VAR5 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
diff_mean_VAR4_sum_groupby_tipo_seg_and_mes,Diferencia entre mean_VAR4 y el valor medio de dicha variable agrupada por tipo_seg y mes ,✓, ,✓
mean_VAR25_trx_groupby_tipo_cat_and_mes,Media de VAR25_trx agrupada por tipo_cat y mes,✓, ,✓
std_VAR1_sum_groupby_tipo_ban_and_mes,Desviacion Estandar de VAR1_sum agrupada por tipo_ban y mes,✓, ,✓
ratio_std_VAR23_sum_groupby_tipo_ban_tipo_cli_and_mes,Ratio entre std_VAR23 y el valor de la desviacion de dicha variable agrupada por tipo_ban_tipo_cli y mes ,✓, ,✓
diff_mean_VAR1_trx_groupby_tipo_cat_and_mes,Diferencia entre mean_VAR1 y el valor medio de dicha variable agrupada por tipo_cat y mes ,✓, ,✓
ratio_max_VAR16_sum_groupby_tipo_ban_and_mes,Ratio entre max_VAR16 y el valor máximo de dicha variable agrupada por tipo_ban y mes ,✓, ,✓
ratio_mean_VAR24_trx_groupby_tipo_ban_tipo_seg_and_mes,Ratio entre mean_VAR24 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
ratio_mean_VAR16_sum_groupby_categoria_and_mes,Ratio entre mean_VAR16 y el valor medio de dicha variable agrupada por categoria y mes ,✓, ,✓
ratio_mean_VAR7_sum_groupby_tipo_ban_tipo_seg_and_mes,Ratio entre mean_VAR7 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
ratio_std_VAR3_sum_groupby_tipo_ban_and_mes,Ratio entre std_VAR3 y el valor de la desviacion de dicha variable agrupada por tipo_ban y mes ,✓, ,✓
diff_mean_VAR23_trx_groupby_tipo_ban_and_mes,Diferencia entre mean_VAR23 y el valor medio de dicha variable agrupada por tipo_ban y mes ,✓, ,✓
variacion_VAR1_trx_0M_sobre_6M,Variacion del valor actual de VAR1_trx con respecto a hace 6 meses,✓, ,✓
variacion_VAR15_sum_0M_sobre_12M,Variacion del valor actual de VAR15_sum con respecto a hace 12 meses,✓, ,✓
variacion_VAR1_trx_0M_sobre_12M,Variacion del valor actual de VAR1_trx con respecto a hace 12 meses,✓, ,✓
variacion_VAR2_sum_0M_sobre_9M,Variacion del valor actual de VAR2_sum con respecto a hace 9 meses,✓, ,✓
variacion_VAR13_sum_0M_sobre_12M,Variacion del valor actual de VAR13_sum con respecto a hace 12 meses,✓, ,✓
variacion_VAR11_sum_0M_sobre_9M,Variacion del valor actual de VAR11_sum con respecto a hace 9 meses,✓, ,✓
variacion_VAR5_trx_0M_sobre_9M,Variacion del valor actual de VAR5_trx con respecto a hace 9 meses,✓, ,✓
variacion_VAR5_trx_0M_sobre_12M,Variacion del valor actual de VAR5_trx con respecto a hace 12 meses,✓, ,✓
variacion_VAR24_trx_0M_sobre_9M,Variacion del valor actual de VAR24_trx con respecto a hace 9 meses,✓, ,✓
variacion_VAR25_sum_0M_sobre_9M,Variacion del valor actual de VAR25_sum con respecto a hace 9 meses,✓, ,✓
variacion_VAR2_sum_0M_sobre_12M,Variacion del valor actual de VAR2_sum con respecto a hace 12 meses,✓, ,✓
variacion_VAR11_sum_0M_sobre_12M,Variacion del valor actual de VAR11_sum con respecto a hace 12 meses,✓, ,✓
variacion_VAR5_trx_0M_sobre_6M,Variacion del valor actual de VAR5_trx con respecto a hace 6 meses,✓, ,✓
variacion_VAR24_trx_0M_sobre_12M,Variacion del valor actual de VAR24_trx con respecto a hace 12 meses,✓, ,✓
 , ,✓, ,✓
variacion_VAR25_sum_0M_sobre_3M,Variacion del valor actual de VAR25_sum con respecto a hace 3 meses,✓, ,✓
variacion_VAR1_trx_0M_sobre_9M,Variacion del valor actual de VAR1_trx con respecto a hace 9 meses,✓, ,✓
variacion_VAR12_sum_0M_sobre_2M,Variacion del valor actual de VAR12_sum con respecto a hace 2 meses,✓, ,✓
variacion_VAR23_trx_0M_sobre_12M,Variacion del valor actual de VAR23_trx con respecto a hace 12 meses,✓, ,✓
variacion_VAR4_sum_0M_sobre_12M,Variacion del valor actual de VAR4_sum con respecto a hace 12 meses,✓, ,✓
variacion_VAR1_prom_0M_sobre_12M,Variacion del valor actual de VAR1_prom con respecto a hace 12 meses,✓, ,✓
variacion_VAR24_sum_0M_sobre_12M,Variacion del valor actual de VAR24_sum con respecto a hace 12 meses,✓, ,✓
variacion_VAR28_trx_0M_sobre_12M,Variacion del valor actual de VAR28_trx con respecto a hace 12 meses,✓, ,✓
variacion_VAR5_sum_0M_sobre_12M,Variacion del valor actual de VAR5_sum con respecto a hace 12 meses,✓, ,✓
variacion_VAR2_prom_0M_sobre_12M,Variacion del valor actual de VAR2_prom con respecto a hace 12 meses,✓, ,✓
variacion_VAR7_sum_0M_sobre_12M,Variacion del valor actual de VAR7_sum con respecto a hace 12 meses,✓, ,✓
variacion_VAR25_sum_0M_sobre_12M,Variacion del valor actual de VAR25_sum con respecto a hace 12 meses,✓, ,✓
variacion_VAR17_sum_0M_sobre_6M,Variacion del valor actual de VAR17_sum con respecto a hace 6 meses,✓, ,✓
variacion_VAR12_sum_0M_sobre_12M,Variacion del valor actual de VAR12_sum con respecto a hace 12 meses,✓, ,✓
variacion_VAR23_sum_0M_sobre_12M,Variacion del valor actual de VAR23_sum con respecto a hace 12 meses,✓, ,✓
variacion_VAR12_sum_0M_sobre_3M,Variacion del valor actual de VAR12_sum con respecto a hace 3 meses,✓, ,✓
variacion_VAR2_sum_0M_sobre_6M,Variacion del valor actual de VAR2_sum con respecto a hace 6 meses,✓, ,✓
variacion_VAR2_prom_0M_sobre_6M,Variacion del valor actual de VAR2_prom con respecto a hace 6 meses,✓, ,✓
variacion_VAR12_sum_0M_sobre_9M,Variacion del valor actual de VAR12_sum con respecto a hace 9 meses,✓, ,✓
variacion_VAR1_sum_0M_sobre_12M,Variacion del valor actual de VAR1_sum con respecto a hace 12 meses,✓, ,✓
variacion_VAR11_sum_0M_sobre_2M,Variacion del valor actual de VAR11_sum con respecto a hace 2 meses,✓, ,✓
variacion_VAR25_sum_0M_sobre_2M,Variacion del valor actual de VAR25_sum con respecto a hace 2 meses,✓, ,✓
variacion_VAR1_trx_0M_sobre_3M,Variacion del valor actual de VAR1_trx con respecto a hace 3 meses,✓, ,✓
variacion_VAR1_sum_0M_sobre_6M,Variacion del valor actual de VAR1_sum con respecto a hace 6 meses,✓, ,✓
variacion_VAR24_sum_0M_sobre_2M,Variacion del valor actual de VAR24_sum con respecto a hace 2 meses,✓, ,✓
variacion_VAR1_prom_0M_sobre_9M,Variacion del valor actual de VAR1_prom con respecto a hace 9 meses,✓, ,✓
variacion_VAR17_sum_0M_sobre_2M,Variacion del valor actual de VAR17_sum con respecto a hace 2 meses,✓, ,✓
variacion_VAR1_sum_0M_sobre_9M,Variacion del valor actual de VAR1_sum con respecto a hace 9 meses,✓, ,✓
variacion_VAR25_sum_0M_sobre_6M,Variacion del valor actual de VAR25_sum con respecto a hace 6 meses,✓, ,✓
variacion_VAR2_trx_0M_sobre_12M,Variacion del valor actual de VAR2_trx con respecto a hace 12 meses,✓, ,✓
variacion_VAR1_prom_0M_sobre_6M,Variacion del valor actual de VAR1_prom con respecto a hace 6 meses,✓, ,✓
 , ,✓, ,✓
nunique_categoria_34M,Número de valores diferentes en la variable categoria en los ultimos 34 Meses,✓, ,✓
nunique_month_diff_12M,Numero de veces que aparece el cliente en los ultimos 12 meses,✓, ,✓
nunique_tipo_ban_categoria_34M,Número de valores diferentes en la variable tipo_ban_categoria en los ultimos 34 Meses, ,✓, 
nunique_month_diff_6M,Numero de veces que aparece el cliente en los ultimos 6 meses, ,✓, 
nunique_categoria_tipo_cat_34M,Número de valores diferentes en la variable categoria_tipo_ca en los ultimos 34 Meses, ,✓, 
nunique_categoria_18M,Número de valores diferentes en la variable categoria en los ultimos 18 Meses, ,✓, 
 , , ,✓, 
 , , ,✓, 
mean_target_mes_12M_variables_target_window5,Media de la variable objetivo en los ultimos 12 meses, ,✓, 
std_target_mes_12M_variables_target_window5,Desviacion Estandar de la variable objetivo en los ultimos 12 meses, ,✓, 
min_target_mes_12M_variables_target_window5,Minimo valor de la variable objetivo en los ultimos 12 meses, ,✓, 
max_target_mes_12M_variables_target_window5,Maximo valor de la variable objetivo en los ultimos 12 meses, ,✓, 
skew_target_mes_12M_variables_target_window5,Skewness de la variable la variable objetivo en los ultimos 12 meses, ,✓, 
kurt_target_mes_12M_variables_target_window5,Kurtosis de la variable la variable objetivo en los ultimos 12 meses, ,✓, 
agg_count_0_target_mes_12M_variables_target_window5,Conteo de los valores 0 de la variable objetivo en los ultimos 12 meses, ,✓, 
mean_target_mes_18M_variables_target_window5,Media de la variable objetivo en los ultimos 18 meses, ,✓, 
std_target_mes_18M_variables_target_window5,Desviacion Estandar de la variable objetivo en los ultimos 18 meses, ,✓, 
min_target_mes_18M_variables_target_window5,Minimo valor de la variable objetivo en los ultimos 18 meses, ,✓, 
max_target_mes_18M_variables_target_window5,Maximo valor de la variable objetivo en los ultimos 18 meses, ,✓, 
skew_target_mes_18M_variables_target_window5,Skewness de la variable la variable objetivo en los ultimos 18 meses, ,✓, 
kurt_target_mes_18M_variables_target_window5,Kurtosis de la variable la variable objetivo en los ultimos 18 meses, ,✓, 
agg_count_0_target_mes_18M_variables_target_window5,Conteo de los valores 0 de la variable objetivo en los ultimos 18 meses, ,✓, 
mean_target_mes_100M_variables_target_window5,Media de la variable objetivo en toda la base, ,✓, 
std_target_mes_100M_variables_target_window5,Desviacion Estandar de la variable objetivo en toda la base, ,✓, 
min_target_mes_100M_variables_target_window5,Minimo valor de la variable objetivo en toda la base, ,✓, 
max_target_mes_100M_variables_target_window5,Maximo valor de la variable objetivo en toda la base, ,✓, 
skew_target_mes_100M_variables_target_window5,Skewness de la variable la variable objetivo en toda la base, ,✓, 
kurt_target_mes_100M_variables_target_window5,Kurtosis de la variable la variable objetivo en toda la base, ,✓, 
agg_count_0_target_mes_100M_variables_target_window5,Conteo de los valores 0 de la variable objetivo en toda la base, ,✓, 
linear_trend_slope_target_mes_12M_variables_target_window5,Pendiente de la recta que aproxima por mínimos cuadrados a la variable objetivo en los ultimos 12 meses, ,✓, 
last_location_of_minimum_target_mes_12M_variables_target_window5,Número de meses transcurridos desde la última vez que se obtuvo el menor valor de la variable objetivo en los ultimos 12 meses, ,✓, 
first_location_of_minimum_target_mes_12M_variables_target_window5,Número de meses transcurridos desde la primera vez que se obtuvo el menor valor de la variable objetivo en los ultimos 12 meses, ,✓, 
get_last_time_equal_0_target_mes_12M_variables_target_window5,Número de meses transcurridos desde la última vez que se obtuvo 0 wn la variable objetivo en los ultimos 12 meses, ,✓, 
linear_trend_slope_target_mes_18M_variables_target_window5,Pendiente de la recta que aproxima por mínimos cuadrados a la variable objetivo en los ultimos 18 meses, ,✓, 
last_location_of_minimum_target_mes_18M_variables_target_window5,Número de meses transcurridos desde la última vez que se obtuvo el menor valor de la variable objetivo en los ultimos 18 meses, ,✓, 
first_location_of_minimum_target_mes_18M_variables_target_window5,Número de meses transcurridos desde la primera vez que se obtuvo el menor valor de la variable objetivo en los ultimos 18 meses, ,✓, 
get_last_time_equal_0_target_mes_18M_variables_target_window5,Número de meses transcurridos desde la última vez que se obtuvo 0 wn la variable objetivo en los ultimos 18 meses, ,✓, 
tipo_ban,Combinacion de Variable categóricas: tipo_ban, ,✓, 
tipo_seg,Combinacion de Variable categóricas: tipo_seg, ,✓, 
categoria,Combinacion de Variable categóricas: categoria, ,✓, 
tipo_com,Combinacion de Variable categóricas: tipo_com, ,✓, 
tipo_cli,Combinacion de Variable categóricas: tipo_cli, ,✓, 
VAR1_prom,Variable VAR1_prom, ,✓, 
VAR1_trx,Variable VAR1_trx, ,✓, 
VAR2_sum,Variable VAR2_sum, ,✓, 
VAR2_prom,Variable VAR2_prom, ,✓, 
VAR2_trx,Variable VAR2_trx, ,✓, 
VAR3_prom,Variable VAR3_prom, ,✓, 
VAR3_trx,Variable VAR3_trx, ,✓, 
VAR4_prom,Variable VAR4_prom, ,✓, 
VAR4_trx,Variable VAR4_trx, ,✓, 
VAR5_prom,Variable VAR5_prom, ,✓, 
VAR5_trx,Variable VAR5_trx, ,✓, 
VAR6_sum,Variable VAR6_sum, ,✓, 
VAR6_prom,Variable VAR6_prom, ,✓, 
VAR6_trx,Variable VAR6_trx, ,✓, 
VAR7_sum,Variable VAR7_sum, ,✓, 
VAR7_prom,Variable VAR7_prom, ,✓, 
VAR7_trx,Variable VAR7_trx, ,✓, 
VAR8_sum,Variable VAR8_sum, ,✓, 
VAR8_prom,Variable VAR8_prom, ,✓, 
VAR8_trx,Variable VAR8_trx, ,✓, 
VAR9_sum,Variable VAR9_sum, ,✓, 
VAR9_prom,Variable VAR9_prom, ,✓, 
VAR9_trx,Variable VAR9_trx, ,✓, 
VAR10_sum,Variable VAR10_sum, ,✓, 
VAR11_sum,Variable VAR11_sum, ,✓, 
VAR12_sum,Variable VAR12_sum, ,✓, 
VAR13_sum,Variable VAR13_sum, ,✓, 
VAR14_sum,Variable VAR14_sum, ,✓, 
VAR15_sum,Variable VAR15_sum, ,✓, 
VAR16_sum,Variable VAR16_sum, ,✓, 
VAR17_sum,Variable VAR17_sum, ,✓, 
VAR18_sum,Variable VAR18_sum, ,✓, 
VAR19_sum,Variable VAR19_sum, ,✓, 
VAR20_sum,Variable VAR20_sum, ,✓, 
VAR21_sum,Variable VAR21_sum, ,✓, 
VAR22_sum,Variable VAR22_sum, ,✓, 
VAR23_sum,Variable VAR23_sum, ,✓, 
VAR23_prom,Variable VAR23_prom, ,✓, 
VAR23_trx,Variable VAR23_trx, ,✓, 
VAR24_prom,Variable VAR24_prom, ,✓, 
VAR24_trx,Variable VAR24_trx, ,✓, 
VAR25_sum,Variable VAR25_sum, ,✓, 
VAR25_prom,Variable VAR25_prom, ,✓, 
VAR25_trx,Variable VAR25_trx, ,✓, 
VAR26_sum,Variable VAR26_sum, ,✓, 
